ticker,ex_date,action_type,ratio,dividend,source,notes
EXMPL,2020-06-15,split,2.0,,EXAMPLE_REPLACE,2-for-1 split: each old share becomes 2 new; price halves. ratio = new shares per old share.
EXMPL,2021-09-01,bonus,0.1,,EXAMPLE_REPLACE,1-for-10 bonus issue: ratio = bonus shares per share held (0.1).
EXMPL,2022-03-10,cash_dividend,,1.5,EXAMPLE_REPLACE,NGN 1.50/share cash dividend. ratio blank; cash adjustment is a v1 TODO (currently no-op).
2TMCN,2015-07-21,bonus,0.134921,,broadstreet_reconciled,nominal '10 for 1' declared 2014-12-31; price x0.881
2TMCN,2016-06-16,bonus,0.138211,,broadstreet_reconciled,nominal '10 for 1' declared 2015-12-31; price x0.879
2TSMI,2011-07-01,bonus,0.375,,broadstreet_reconciled,nominal '4 for 1' declared 2010-12-31; price x0.727
7UP,2006-10-09,bonus,0.272826,,broadstreet_reconciled,nominal '4 for 1' declared 2006-03-31; price x0.786
7UP,2010-09-13,bonus,0.29285,,broadstreet_reconciled,nominal '4 for 1' declared 2010-03-31; price x0.773
ABC,2014-08-11,bonus,0.197183,,broadstreet_reconciled,nominal '10 for 1' declared 2013-12-31; price x0.835
ACP,2011-09-12,bonus,0.276923,,broadstreet_reconciled,nominal '4 for 1' declared 2011-03-31; price x0.783
ACP,2015-08-03,bonus,0.197368,,broadstreet_reconciled,nominal '5 for 1' declared 2015-03-31; price x0.835
AFB,2002-08-26,bonus,1.020958,,broadstreet_reconciled,nominal '1 for 1' declared 2002-03-31; price x0.495
AFB,2007-08-20,bonus,0.209905,,broadstreet_reconciled,nominal '5 for 1' declared 2007-03-31; price x0.827
AFB,2008-09-18,bonus,0.355206,,broadstreet_reconciled,nominal '3 for 1' declared 2008-03-31; price x0.738
AGL,2008-05-05,bonus,0.209465,,broadstreet_reconciled,nominal '5 for 1' declared 2007-12-31; price x0.827
AIC,2010-02-28,bonus,0.2875,,broadstreet_reconciled,nominal '4 for 1' declared 2009-12-31; price x0.777
AIC,2020-09-24,bonus,0.194444,,broadstreet_reconciled,nominal '1 for 5' declared 2019-12-31; price x0.837
APR,2025-03-24,bonus,1.156863,,broadstreet_reconciled,nominal '1 for 1' declared 2024-12-31; price x0.464
ASH,2008-08-25,bonus,0.167026,,broadstreet_reconciled,nominal '6 for 1' declared 2007-12-31; price x0.857
