ticker,name,sector,sector_id,detail_url
2TADS,Adswitch PLC,Second Tier Securities,33,/compDetail.php?s=2TADS&p=qs
2TAFK,Afrik Pharmaceuticals,Second Tier Securities,33,/compDetail.php?s=2TAFK&p=qs
2TANI,Anino International,Second Tier Securities,33,/compDetail.php?s=2TANI&p=qs
2TCAP,Capital Oil,Second Tier Securities,33,/compDetail.php?s=2TCAP&p=qs
2TFLX,Flexible Packaging,Second Tier Securities,33,/compDetail.php?s=2TFLX&p=qs
2TJUL,Juli PLC,Second Tier Securities,33,/compDetail.php?s=2TJUL&p=qs
2TKRA,Krabo Nigeria PLC,Second Tier Securities,33,/compDetail.php?s=2TKRA&p=qs
2TMCN,MCNICHOLS,Second Tier Securities,33,/compDetail.php?s=2TMCN&p=qs
2TNPL,NewPal PLC,Second Tier Securities,33,/compDetail.php?s=2TNPL&p=qs
2TOSL,LIVING TRUST MORTGAGE BANK PLC,Second Tier Securities,33,/compDetail.php?s=2TOSL&p=qs
2TRAK,Rak Unity Petroleum,Second Tier Securities,33,/compDetail.php?s=2TRAK&p=qs
2TROK,Rokana Industries,Second Tier Securities,33,/compDetail.php?s=2TROK&p=qs
2TSMI,Smart Products,Second Tier Securities,33,/compDetail.php?s=2TSMI&p=qs
2TTRO,Tropical Petroleum,Second Tier Securities,33,/compDetail.php?s=2TTRO&p=qs
2TUDE,Udeofson Garment FCT Nig,Second Tier Securities,33,/compDetail.php?s=2TUDE&p=qs
2TUNO,NAVITUS ENERGY PLC,Second Tier Securities,33,/compDetail.php?s=2TUNO&p=qs
2TWAA,W A Aluminium Products,Second Tier Securities,33,/compDetail.php?s=2TWAA&p=qs
7UP,Seven-up Bottling Company PLC,Food Beverages and Tobacco,14,/compDetail.php?s=7UP&p=qs
AAF,Airtel Africa,Telecommunication,31,/compDetail.php?s=AAF&p=qs
ABB,Abbey Mortgage Bank Plc,Mortgage Companies,23,/compDetail.php?s=ABB&p=qs
ABC,Associated Bus Company PLC,Road Transportation,29,/compDetail.php?s=ABC&p=qs
ABL,Access Bank PLC,Banking,5,/compDetail.php?s=ABL&p=qs
ABP,ABPLAST Products PLC,Packaging,25,/compDetail.php?s=ABP&p=qs
ACC,Avon Crown Caps and Containers PLC,Packaging,25,/compDetail.php?s=ACC&p=qs
ACE,ACEN Insurance Inc.,Insurance,19,/compDetail.php?s=ACE&p=qs
ACP,Academy Press PLC,Printing and Publishing,27,/compDetail.php?s=ACP&p=qs
AEX,Aluminium Extrusion Ind PLC,Industrial Domestic Products,18,/compDetail.php?s=AEX&p=qs
AFA,African Alliance Insurance,Insurance,19,/compDetail.php?s=AFA&p=qs
AFB,Afribank Nigeria PLC,Banking,5,/compDetail.php?s=AFB&p=qs
AFL,Afroil PLC,Petroleum (Marketing),26,/compDetail.php?s=AFL&p=qs
AFP,Afprint Nigeria PLC,Agriculture/Agro Allied,1,/compDetail.php?s=AFP&p=qs
AFR,Afromedia PLC,Media,34,/compDetail.php?s=AFR&p=qs
AGL,A G Leventis Nigeria PLC,Conglomerates,11,/compDetail.php?s=AGL&p=qs
AIC,AIICO Insurance PLC,Insurance,19,/compDetail.php?s=AIC&p=qs
ALB,ALBARKA,Aviation,4,/compDetail.php?s=ALB&p=qs
ALL,Aboseldehyde Labs PLC,Healthcare,16,/compDetail.php?s=ALL&p=qs
ALM,Alumaco PLC,Industrial Domestic Products,18,/compDetail.php?s=ALM&p=qs
AMI,Amicable Insurance PLC,Insurance,19,/compDetail.php?s=AMI&p=qs
APL,Ardova PLC,Petroleum (Marketing),26,/compDetail.php?s=APL&p=qs
APN,African Paints Nigeria PLC,Chemical and Paints,8,/compDetail.php?s=APN&p=qs
